gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene528,1637.513,-1.910571,0.0788834,-24.2202,1.36363e-129,1.73345e-125
gene2424,385.790,-0.973375,0.0410162,-23.7315,1.70594e-124,1.08430e-120
gene16802,2793.935,-1.017169,0.0469052,-21.6856,2.80493e-104,1.18854e-100
gene5244,836.562,-0.797340,0.0369273,-21.5922,2.12829e-103,6.76369e-100
gene16933,529.112,-0.749016,0.0354127,-21.1511,2.69727e-99,6.85754e-96
gene15874,1693.401,-0.981789,0.0480653,-20.4261,9.79605e-93,2.07546e-89
gene15696,797.921,-0.833261,0.0422410,-19.7264,1.28035e-86,2.32511e-83
gene5046,770.736,-0.977386,0.0519279,-18.8220,4.98761e-79,7.92531e-76
gene2054,206.816,-1.307453,0.0700695,-18.6594,1.05985e-77,1.49698e-74
gene13664,435.317,-0.986119,0.0533176,-18.4952,2.25722e-76,2.86937e-73